precio,ubicacion,tamanio,latitud,longitud
45000," Renta Local Dentro DE Centro Comercial Guadalupe INN,  Guadalupe Inn, Alvaro Obregón",69,19.354910300000000,-99.185271799999995
48012," Calle Lago Alberto CDMX,  Anáhuac I Sección, Miguel Hidalgo",542,19.439694600000000,-99.183355400000000
40000," Castillo de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",40,19.420439700000000,-99.181935000000000
20000," Gral. Pedro Antonio de los Santos ,  San Miguel Chapultepec, Miguel Hidalgo",30,19.412353900000000,-99.182487299999990
13000," PORTALES ORIENTE,  Portales Oriente, Benito Juárez",12,19.366080600000000,-99.139388900000000
170000," CDMX,  Vallejo, Gustavo A. Madero",65215,19.467310500000000,-99.133163099999990
16000," Lateral Autopista México - Toluca,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",7,19.358638806399998,-99.275262674299995
25848," Calvario,  Tlalpan Centro, Tlalpan",572,19.288408799999999,-99.174137099999995
30000," Local en Renta, Excelente Ubicación.,  San Jerónimo Lídice, La Magdalena Contreras",50,19.325034500000001,-99.223581999999993
19398," Montecito,  Nápoles, Benito Juárez",28,19.394400000000000,-99.177400000000005
500," Periodista ,  Periodista, Miguel Hidalgo",403,19.448224000000000,-99.218983799999990
8000," AVENIDA JOSE MARIA CASTORENA 425,  Cuajimalpa, Cuajimalpa de Morelos",30,19.360818600000000,-99.289343500000000
22000," INSURGENTES,  Insurgentes Mixcoac, Benito Juárez",53,19.372699999999998,-99.183700000000001
12000," CIUDAD DE MEXICO,  Esperanza, Cuauhtémoc",471,19.421145000000000,-99.128321100000000
23000," GELATI 33,  San Miguel Chapultepec, Miguel Hidalgo",35,19.411065300000000,-99.185211199999997
14000," Moliere,  Polanco, Miguel Hidalgo",231,19.430380326495477,-99.202536518524170
12425," av montevideo 363,  Lindavista, Gustavo A. Madero",122,19.492509800000000,-99.133551900000000
28000," SANTA MARIA LA RIBERA,  Santa María la Ribera, Cuauhtémoc",45,19.446827900000000,-99.159453200000000
24000," Xicotencatl,  Del Carmen, Coyoacán",501,19.353915500000000,-99.158145300000000
15900," Santa Lucia 881,  Colina del Sur, Alvaro Obregón",41,19.368793601402959,-99.222895549073783
10350," Av. Henry Ford ,  Bondojito, Gustavo A. Madero",34,19.466937200000000,-99.109243999999990
55500," Alfonso Reyes,  Hipódromo Condesa, Cuauhtémoc",51,19.409268300000000,-99.178083299999997
5000," Huitzilopochtli Lte 14 Mz 19 340,  Adolfo Ruiz Cortines, Coyoacán",11,19.320184600000000,-99.150290500000000
1300000," Periferico sur,  Progreso Tizapán, Alvaro Obregón",2015,19.325459999999999,-99.214727400000001
20000," Av. Puente de Piedra,  Toriello Guerra, Tlalpan",40,19.295810300000000,-99.161889200000000
50000," Avenida de las Palmas,  Lomas de Chapultepec, Miguel Hidalgo",291,19.426300000000001,-99.221999999999994
13500," Calzada México - Xochimilco,  San Lorenzo Huipulco, Tlalpan",141,19.291625799999998,-99.148624900000001
4500," Calle Violeta 10,  Barrio San Diego, Xochimilco",251,19.262503900000000,-99.101231000000000
18000," Campos Elíseos 526,  Polanco, Miguel Hidalgo",3,19.431397200000000,-99.206858799999990
30000," Lomas de Chapultepec,  Lomas de Chapultepec, Miguel Hidalgo",301,19.424937400000000,-99.213444200000000
8800," Sacalum,  Lomas de Padierna, Tlalpan",65,19.293230900000000,-99.228295600000000
10000,"  SAN MIGUEL TEOTONGO,  San Miguel Teotongo, Iztapalapa",40,19.343428700000000,-98.988031900000000
26329," Calvario,  Tlalpan Centro, Tlalpan",582,19.288408799999999,-99.174137099999995
16000," Golfo de San Lorenzo No. 41 ,  Tacuba, Miguel Hidalgo",61,19.457269500000000,-99.190968200000000
14875," Calzada La Viga 641, Local C,  San Francisco Xicaltongo, Iztacalco",34,19.396633900000001,-99.123724099999989
13000," San Isidro 288 local C,  San Bartolo Cahualtongo, Azcapotzalco",732,19.482857599999999,-99.200504099999989
29900," DR ATL 149,  Buenavista, Cuauhtémoc",652,19.447037900000000,-99.156128999999990
16500," Verónica Anzures,  Verónica Anzures, Miguel Hidalgo",58,19.436516000000000,-99.173985699999990
70000," AV. ARNESES,  San Antonio CulhuacAn, Iztapalapa",50,19.342456200000000,-99.112496200000000
12500," Av. Santa Rosa 36, Local 4,  Ex-Hacienda Coapa, Coyoacán",21,19.309028200000000,-99.137054199999994
17000," Carmona y Valle,  Doctores, Cuauhtémoc",31,19.424800000000001,-99.153099999999994
28000," AV. Revolución, Mixcoac,  Mixcoac, Benito Juárez",48,19.371437700000001,-99.188367600000006
16000," INSURGENTES 2085-B,  Guadalupe Inn, Alvaro Obregón",15,19.347826000000000,-99.187663399999990
15000," HIPODROMO,  Hipódromo, Cuauhtémoc",10,19.409368200000000,-99.171909500000000
5500," Calle 73 L187,  Jacarandas, Iztapalapa",37,19.361892400000000,-99.134129100000000
22000," Olivar de los Padres,  Olivar de los Padres, Alvaro Obregón",505,19.338651899999998,-99.221146699999991
44829," Blvd. Manuel Ávila Camacho,  Polanco, Miguel Hidalgo",49,19.433014900000000,-99.209019200000000
30000," Local en Renta, Excelente Ubicación.,  San Jerónimo Lídice, La Magdalena Contreras",50,19.327166699999999,-99.224523700000005
8590," Renacimiento s/n ,  San Juan Tlihuaca, Azcapotzalco",50,19.487129600000000,-99.202058800000000
29500," Av. Thiers,  Anzures, Miguel Hidalgo",51,19.433299999999999,-99.178499999999999
8500," Avenida Tlahuac  ,  Doce de Diciembre, Iztapalapa",45,19.309776000000000,-99.069565000000000
5000,"  Aquiles Serdán,  Aquiles Serdán, Venustiano Carranza",35,19.446597500000000,-99.090978600000000
11000," Calzada de las Bombas No. 326,  Los Cedros, Coyoacán",17,19.311598400000000,-99.112867700000000
14000," Jose t cuellar , colonia obrera,  Obrera, Cuauhtémoc",55,19.414568400000000,-99.136859600000000
40000," Roma norte,  Roma Norte, Cuauhtémoc",55,19.416210375416444,-99.159195707934570
30000," Insurgentes Sur al 400,  Roma Sur, Cuauhtémoc",40,19.407300700000000,-99.167735600000000
8000," Manuel Payno 128,  Obrera, Cuauhtémoc",45,19.413901300000000,-99.137619700000000
15000," FABRICA DE CARTUCHOS 9,  Lomas del Chamizal, Cuajimalpa de Morelos",281,19.387747600000000,-99.260939799999988
16000," Calzada Ermita Iztapalapa,  Santiago Acahualtepec, Iztapalapa",401,19.350752400000001,-99.017046399999998
10000," Av. Plutarco Elías Calles , Banjidal, Iztapalapa,  Iztapalapa, Ciudad de México",25,19.361277000000001,-99.138700999999997
32000," insurgentes,  Tabacalera, Cuauhtémoc",44,19.436323800000000,-99.157102300000000
35000,"  Del Valle Centro, Benito Juárez,  Del Valle Sur, Benito Juárez",68,19.379715100000000,-99.167713200000000
25000," LOMAS DE CHAPULTEPEC ,  Lomas de Chapultepec, Miguel Hidalgo",351,19.424937400000000,-99.213444200000000
11500," Auriga 8,  El Prado, Iztapalapa",35,19.358457900000001,-99.132022699999993
60000," MILITAR MARTE,  Militar Marte, Iztacalco",14,19.382139800000000,-99.127629500000000
41940," Av. Santa Fe,  Santa Fe Cuajimalpa, Cuajimalpa de Morelos",45,19.365999999999999,-99.262200000000007
34000," Eje 10 Sur al 600,  Jardines del Pedregal, Alvaro Obregón",50,19.330308200000001,-99.209200199999997
18000," Canal de Miramontes,  Los Girasoles, Coyoacán",35,19.310712900000000,-99.124935799999990
14399," Ave. Cuauhtémoc 1233,  Santa Cruz Atoyac, Benito Juárez",361,19.368176349999998,-99.160969699999995
12000," Pípila  82,  Guadalupe del Moral, Iztapalapa",551,19.369803600000000,-99.075187600000006
23454," Calvario,  Tlalpan Centro, Tlalpan",522,19.288408799999999,-99.174137099999995
27000," Emilio Castelar,  Polanco, Miguel Hidalgo",18,19.431449000000000,-99.201035599999997
36158," Guillermo González Camarena,  Santa Fe, Alvaro Obregón",781,19.366602200000000,-99.263853300000000
6000," PASTORES,  Granjas Navidad, Cuajimalpa de Morelos",151,19.373899999999999,-99.283100000000004
5000," DOCTOR VERTIZ ,  Narvarte Poniente, Benito Juárez",10,19.422631300000000,-99.146753300000000
16850," Calzada Legaria,  Pensil Norte, Miguel Hidalgo",5825,19.452500000000000,-99.199600000000003
16000," Manuel José Othón 141,  Obrera, Cuauhtémoc",65,19.414465200000000,-99.136001999999990
19500," Cuauhtémoc ,  Narvarte Poniente, Benito Juárez",10,19.396919800000000,-99.156133900000000
7500," Camino a Santa Teresa,  Fuentes del Pedregal, Tlalpan",24,19.310500000000001,-99.224400000000002
22000," Periférico Sur 2112,  Los Alpes, Alvaro Obregón",55,19.357074799999999,-99.196253400000003
19200," Manzanillo,  Roma Norte, Cuauhtémoc",69,19.411500000000000,-99.166300000000006
5000," Pitagoras,  Del Valle Centro, Benito Juárez",8,19.382086399999998,-99.159993000000000
40000," Anatole France,  Polanco, Miguel Hidalgo",70,19.433191099999998,-99.197325500000005
13000," TORRE MEDICA METROPOLITANA, CALLE TAMPICO #,  Condesa, Cuauhtémoc",21,19.420533100000000,-99.175247399999990
49000," Fernando de Alva Ixtlilxóchitl,  Obrera, Cuauhtémoc",60,19.419599999999999,-99.141499999999993
